episode_name,imdb_rating
pilot,7.6
diversity day,8.3
health care,7.9
the alliance,8.1
basketball,8.4
hot girl,7.8
the dundies,8.7
sexual harassment,8.2
office olympics,8.4
the fire,8.4
halloween,8.2
the fight,8.2
the client,8.6
performance review,8.2
e-mail surveillance,8.4
christmas party,8.8
booze cruise,8.6
the injury,9
the secret,8.3
the carpet,7.9
boys and girls,8.2
valentine's day,8.3
dwight's speech,8.4
take your daughter to work day,8.3
michael's birthday,8.1
drug testing,8.4
conflict resolution,8.7
casino night,9.3
gay witch hunt,8.9
the convention,8.2
the coup,8.5
grief counseling,8
initiation,8.2
diwali,8
branch closing,8.5
the merger,8.7
the convict,8.2
a benihana christmas,8.7
back from vacation,8.5
traveling salesmen,8.6
the return,8.8
ben franklin,8.2
phyllis' wedding,8.3
business school,8.8
cocktails,8.5
the negotiation,8.9
safety training,8.8
product recall,8.7
women's appreciation,8.8
beach games,9.1
the job,9.3
fun run,8.8
dunder mifflin infinity,8.4
launch party,8.5
money,8.7
local ad,8.8
branch wars,8.5
survivor man,8.3
the deposition,8.7
dinner party,9.3
chair model,8.1
night out,8.7
did i stutter?,8.4
job fair,7.9
"goodbye, toby",9.3
weight loss,8.8
business ethics,8.3
baby shower,8.1
crime aid,8.1
employee transfer,8.1
customer survey,8.5
business trip,8.2
frame toby,8.6
the surplus,8.7
moroccan christmas,8.4
the duel,8.7
prince family paper,8.1
stress relief,9.6
lecture circuit: part 1,8.2
lecture circuit: part 2,8.2
blood drive,8.1
golden ticket,8.7
new boss,8.3
two weeks,8.4
dream team,8.3
michael scott paper company,8.7
heavy competition,8.7
broke,9.1
casual friday,8.3
cafe disco,8.7
company picnic,8.9
gossip,8.7
the meeting,8.2
the promotion,8
niagara: part 1,9.3
niagara: part 2,9.3
mafia,7.7
the lover,8.6
koi pond,8.2
double date,8.2
murder,8.6
shareholder meeting,8.2
scott's tots,8.3
secret santa,8.5
the banker,6.8
sabre,7.8
manager and salesman,8.1
the delivery: part 1,8.4
the delivery: part 2,8.5
st. patrick's day,7.8
new leads,7.9
happy hour,8.6
secretary's day,7.9
body language,8
the cover-up,8.2
the chump,7.9
whistleblower,8
nepotism,8.4
counseling,8.3
andy's play,8.2
sex ed,7.9
the sting,7.8
costume contest,8.2
christening,7.5
viewing party,7.9
wuphf.com,7.8
china,8.2
classy christmas,8.9
ultimatum,8.3
the seminar,7.7
the search,8.5
pda,8.4
threat level midnight,9.3
todd packer,7.5
garage sale,9.2
training day,7.8
michael's last dundies,8.9
"goodbye, michael",9.7
the inner circle,7.7
"dwight k. schrute, (acting) manager",8.7
search committee,8.8
the list,8.2
the incentive,8.2
lotto,7.3
garden party,8.1
spooked,7.6
doomsday,7.8
pam's replacement,7.7
gettysburg,7
mrs. california,7.7
christmas wishes,8
trivia,7.9
pool party,8
jury duty,7.5
special project,7.8
tallahassee,7.9
after hours,8.1
test the store,7.8
last day in florida,7.8
get the girl,6.7
welcome party,7.2
angry andy,7.1
fundraiser,7.1
turf war,7.7
free family portrait studio,7.8
new guys,7.7
roy's wedding,7.2
andy's ancestry,7.5
work bus,7.9
here comes treble,7.1
the boat,7.8
the whale,7.7
the target,7.8
dwight christmas,8.4
lice,7.7
suit warehouse,7.9
customer loyalty,8
junior salesman,7.7
vandalism,7.6
couples discount,7.4
moving on,8.2
the farm,7.5
promos,8
stairmageddon,8
paper airplane,8
livin' the dream,8.9
a.a.r.m.,9.3
finale,9.7
