Aitkin	 15,870 
Anoka	 362,648 
Becker	 34,545 
Beltrami	 47,184 
Benton	 40,895 
Big Stone	 4,993 
Blue Earth	 68,583 
Brown	 25,119 
Carlton	 35,935 
Carver	 107,179 
Cass	 29,754 
Chippewa	 11,858 
Chisago	 56,613 
Clay	 64,591 
Clearwater	 8,808 
Cook	 5,462 
Cottonwood	 11,216 
Crow Wing	 65,274 
Dakota	 433,302 
Dodge	 20,943 
Douglas	 38,220 
Faribault	 13,580 
Fillmore	 21,060 
Freeborn	 30,364 
Goodhue	 46,449 
Grant	 5,967 
Hennepin	 1,279,981 
Houston	 18,626 
Hubbard	 21,494 
Isanti	 40,566 
Itasca	 45,203 
Jackson	 9,858 
Kanabec	 16,310 
Kandiyohi	 43,193 
Kittson	 4,299 
Koochiching	 12,430 
Lac qui Parle	 6,629 
Lake	 10,632 
Lake of the Woods	 3,798 
Le Sueur	 28,894 
Lincoln	 5,648 
Lyon	 25,635 
McLeod	 35,963 
Mahnomen	 5,529 
Marshall	 9,342 
Martin	 19,752 
Meeker	 23,256 
Mille Lacs	 26,227 
Morrison	 33,368 
Mower	 40,124 
Murray	 8,222 
Nicollet	 34,323 
Nobles	 21,976 
Norman	 6,367 
Olmsted	 160,431 
Otter Tail	 58,734 
Pennington	 14,355 
Pine	 29,526 
Pipestone	 9,132 
Polk	 31,524 
Pope	 11,139 
Ramsey	 558,248 
Red Lake	 4,030 
Redwood	 15,204 
Renville	 14,588 
Rice	 66,853 
Rock	 9,359 
Roseau	 15,242 
St. Louis	 199,661 
Scott	 148,458 
Sherburne	 97,520 
Sibley	 14,899 
Stearns	 160,211 
Steele	 37,112 
Stevens	 9,766 
Swift	 9,367 
Todd	 24,665 
Traverse	 3,263 
Wabasha	 21,614 
Wadena	 13,744 
Waseca	 18,648 
Washington	 262,748 
Watonwan	 10,923 
Wilkin	 6,226 
Winona	 50,830 
Wright	 138,531 
Yellow Medicine	 9,729 
